Year,Domestic,International,Total
1989,54546489,19862851,74409340
1990,54131912,20682044,74813956
1991,49657706,18533027,68190733
1992,52181778,19609229,71791007
1993,52765365,19645463,72410828
1994,56810244,20759576,77569820
1995,56113208,22203938,78317146
1996,58298553,23403575,81702128
1997,60263053,24366877,84629930
1998,61160266,25805085,86965351
1999,62370619,27249900,89620519
2000,64364631,28414615,92779246
2001,58503949,24750553,83254502
2002,57548096,23826404,81374500
2003,60054449,24016163,84070612
2004,66825850,27606745,94432595
2005,70621497,29636571,100258068
2006,73415495,30968851,104384346
2007,76501093,33524127,110025220
2008,72147681,34869256,107016937
2009,68096986,33684380,101781366
2010,68458586,35626880,104085466
2011,69446991,36430110,105877101
2012,71691699,37638192,109329891
2013,72889743,39569574,112459317
2014,74250618,41795017,116045635
2015,79464738,43635938,123100676
2016,83814838,45914209,129729047
2017,85073562,47645467,132719029
2018,88071899,50196394,138268293
2019,89479096,51019037,140498133
2020,28339519,12526599,40866118
